score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0834915433371706,0.03760627871587601,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.9,1e-05,0
1.0908555273383373,0.03167992225319721,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.9,0.0001,0
1.0913338089172138,0.021037798996837748,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.005,0.9,1e-05,0
1.0919494362141753,0.03408483762037138,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.005,0.9,0,0
1.1050504387640583,0.02510948859033558,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.01,0.9,0.0001,0
1.1066624100153029,0.06598973586313085,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.005,0.9,0.0001,0
1.1185464152081321,0.028444434364971703,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.5,0,0
1.1186401740233773,0.02004786675947705,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.5,1e-05,0
1.1187091760529215,0.03668403226131766,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.005,0.9,0.0001,0
1.1216207443416044,0.05360106431194196,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.9,0,0
1.122106460021523,0.03680389489287901,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.9,0,0
1.1229461146239952,0.010308060805778898,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.3,1e-05,0
1.1255287641221583,0.03055833945260654,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.3,0,0
1.1261090905487061,0.013941205875597426,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.005,0.9,1e-05,0
1.1265450691414847,0.027874368778788097,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0,0,0
1.1274151273259156,0.04944050597302983,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.005,0.5,0,0
1.1279104919303993,0.02286490014990298,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0,1e-05,0
1.1299358635957075,0.03019235756786399,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.1,1e-05,0
1.1350401064959235,0.036564635340357844,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.01,0.9,1e-05,0
1.135826660316025,0.06325920921301359,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.01,0.1,0,0
1.143974319290333,0.0056613012001696834,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.005,0.9,0,0
1.1476632469478536,0.003681289404761781,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.9,1e-05,0
1.150791553366567,0.05893063485992612,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.005,0.3,0,0
1.1532747862544859,0.026305620705772255,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.01,0.5,1e-05,0
