score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_save_internal_networks,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.9,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.8,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.8,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.8,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.8,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.8,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.8,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.7,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.7,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.7,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.7,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.7,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.7,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.9,0.6,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.9,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.9,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.9,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.8,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.8,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.7,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.7,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.8,0.7,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.9,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.9,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.9,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.8,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.8,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.7,0.8,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.9,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.9,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.9,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.8,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.8,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.8,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.8,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.8,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.6,0.8,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.9,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.9,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.9,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.8,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.8,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.8,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.8,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.8,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.5,0.8,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.4,0.9,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.4,0.9,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.4,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.4,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,sigmoid 1,0.4,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.9,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.9,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.9,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.9,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.9,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.9,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.8,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.8,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.8,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.8,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.8,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.8,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.7,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.7,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.7,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.7,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.7,0,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.7,0,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.6,0.001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.6,0.001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.6,0.0001,0.001
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.6,0.0001,0
1.0,0.0,MSE,batch,500,1e-05,10,10,False,"(2,)",tanh,tanh,0.9,0.5,0.001,0.001
